# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2289.8000 A144 2000000 2 243.8000 Avenue_14 Avenue_11 295 N Avenue_14->Avenue_13->Avenue_11
2300.4000 A130 2000000 4 442.4000 Street_1 Avenue_18 292 N Street_1->Street_2->Street_6->Avenue_12->Avenue_18
2329.4000 A146 2000000 2 254.4000 Avenue_12 Avenue_16 295 N Avenue_12->Avenue_18->Avenue_16
2334.7000 A125 2000000 5 546.7000 Street_4 Street_5 290 N Street_4->Street_9->Avenue_11->Avenue_14->Street_2->Street_5
2360.8000 A135 2000000 2 435.8000 Street_6 Avenue_13 292 N Street_6->Street_1->Avenue_13
2362.3000 A84 2000000 7 1153.3000 Street_2 Avenue_13 280 N Street_2->Street_7->Street_1->Street_10->Street_5->Street_8->Street_1->Avenue_13
2363.8000 A163 2000000 1 41.8000 Street_1 Avenue_13 299 N Street_1->Avenue_13
2377.3000 A142 2000000 1 365.3000 Avenue_20 Street_1 293 N Avenue_20->Street_1
2403.0000 A158 2000000 2 149.0000 Street_4 Avenue_20 297 N Street_4->Street_9->Avenue_20
2416.1000 A165 2000000 1 70.1000 Avenue_13 Street_9 298 N Avenue_13->Street_9
2423.3000 A161 2000000 1 131.3000 Street_1 Street_10 297 N Street_1->Street_10
2439.2000 A170 2000000 1 10.2000 Street_6 Street_10 299 N Street_6->Street_10
2533.1000 A136 2000000 2 590.1000 Avenue_20 Street_8 290 N Avenue_20->Street_1->Street_8
2567.3000 A126 2000000 4 764.3000 Street_5 Street_9 287 N Street_5->Street_8->Street_4->Street_10->Street_9
2576.7000 A175 2000000 1 87.7000 Street_2 Street_9 298 N Street_2->Street_9
2578.4000 A174 2000000 1 100.4000 Avenue_20 Street_7 298 N Avenue_20->Street_7
2581.6000 A67 2000000 9 1623.6000 Avenue_20 Street_4 272 N Avenue_20->Avenue_11->Avenue_15->Avenue_16->Avenue_18->Avenue_16->Avenue_18->Street_3->Street_9->Street_4
2704.7000 A172 2000000 3 251.7000 Avenue_20 Street_2 295 N Avenue_20->Street_1->Street_8->Street_2
2710.6000 A152 2000000 5 549.6000 Street_7 Avenue_14 290 N Street_7->Street_5->Street_3->Avenue_20->Avenue_13->Avenue_14
2740.2000 A149 2000000 2 626.2000 Street_10 Avenue_15 289 N Street_10->Street_9->Avenue_15
2803.7000 A155 2000000 1 596.7000 Avenue_15 Street_3 290 N Avenue_15->Street_3
2805.2000 A192 2000000 1 48.2000 Avenue_15 Street_3 299 N Avenue_15->Street_3
2860.3000 A187 2000000 1 186.3000 Street_9 Street_7 296 N Street_9->Street_7
2864.3000 A182 2000000 2 269.3000 Street_2 Street_7 295 N Street_2->Street_10->Street_7
2907.5000 A151 2000000 4 764.5000 Avenue_14 Street_4 287 N Avenue_14->Avenue_20->Street_1->Street_8->Street_4
2917.0000 A157 2000000 2 674.0000 Street_4 Street_1 288 N Street_4->Street_10->Street_1
2926.9000 A178 2000000 2 390.9000 Street_4 Street_8 293 N Street_4->Street_9->Street_8
2929.5000 A186 2000000 1 267.5000 Street_3 Street_7 295 N Street_3->Street_7
2957.3000 A173 2000000 2 490.3000 Street_6 Avenue_12 291 N Street_6->Street_4->Avenue_12
3001.8000 A204 2000000 1 82.8000 Street_3 Street_5 298 N Street_3->Street_5
3006.4000 A87 2000000 7 1762.4000 Avenue_16 Station1_0 270 N Avenue_16->Street_9->Avenue_11->Avenue_14->Avenue_20->Street_1->Street_8->Station1_0
3009.1000 A164 2000000 2 674.1000 Avenue_13 Avenue_17 288 N Avenue_13->Avenue_18->Avenue_17
3017.6000 A166 2000000 4 654.6000 Street_9 Avenue_11 289 N Street_9->Street_1->Street_8->Street_6->Avenue_11
3033.7000 A183 2000000 1 420.7000 Street_2 Street_5 292 N Street_2->Street_5
3042.8000 A194 2000000 2 254.8000 Street_4 Street_7 295 N Street_4->Avenue_11->Street_7
3054.0000 A201 2000000 1 171.0000 Street_4 Street_9 297 N Street_4->Street_9
3069.9000 A214 2000000 1 14.9000 Street_8 Street_7 299 N Street_8->Street_7
3095.1000 A191 2000000 1 357.1000 Street_5 Street_8 294 N Street_5->Street_8
3115.0000 A218 2000000 1 3.0000 Street_6 Street_10 299 N Street_6->Street_10
3185.0000 A190 2000000 2 466.0000 Avenue_17 Street_6 292 N Avenue_17->Avenue_20->Street_6
3185.2000 A132 2000000 1 1297.2000 Station1_0 Street_10 278 N Station1_0->Street_10
3186.7000 A120 2000000 7 1468.7000 Street_8 Station1_0 275 N Street_8->Street_6->Street_4->Street_9->Street_7->Street_6->Street_10->Station1_0
